Epoch,Train Loss,Validation Loss
1,0.008538464177399873,0.008403253431121508
2,0.007243114989250898,0.0034300358577941856
3,0.005077897198498249,0.003088897094130516
4,0.0046536028617993,0.0033145953978722296
5,0.0043384334712754935,0.002068320541487386
6,0.004154532472603023,0.0025497391470707953
7,0.004022992655518465,0.002404017257504165
8,0.003938820870826021,0.0018793448301342626
9,0.003884437074884772,0.0024592301536661885
10,0.003843295341357589,0.0019218984913701813
11,0.0038123265258036554,0.0018095573759637773
12,0.0037752404576167466,0.002433304015236596
13,0.003745039040222764,0.00240872319166859
14,0.0037005484802648423,0.0017592402485509713
15,0.0036541800247505305,0.0018413926979216437
16,0.003600753704085946,0.0017579152287604909
17,0.0035500382888130843,0.001840900571551174
18,0.0035101567511446772,0.0024467065813951194
19,0.0034790105768479408,0.0017495008554154385
20,0.003472545533441007,0.00172537230537273
21,0.003438298963010311,0.002284494422686597
22,0.0034295111428946255,0.002342855072735498
23,0.003394696782925166,0.0017630785199192662
24,0.003408446244429797,0.0018206851091235876
25,0.0034006203757599,0.0023780459305271506
26,0.003420660214032978,0.002610212735210856
27,0.0033731254952726886,0.0018553536695738633
28,0.003310321411117911,0.0017804711630257468
29,0.0032738266861997547,0.0017389806841189663
30,0.003233999956864864,0.002267612454791864
31,0.0031987583497539163,0.0018030510982498527
32,0.0031751885719131677,0.002292047720402479
33,0.0031550662126392124,0.0017960349602314334
34,0.003163973428308964,0.0023309371123711267
35,0.0031309214013163,0.0018325908458791673
36,0.003095741954166442,0.0017556803844248254
37,0.003082076070131734,0.0017311422949812065
38,0.0031121902400627734,0.0018322547160399456
39,0.0031173686555121096,0.0017983176512643695
40,0.003117629000917077,0.0024976547671637186
41,0.0030692931613884866,0.001757277185485388
42,0.0030552844138583167,0.0017915221396833658
43,0.0030921711935661734,0.0018752894635933142
44,0.003058697539381683,0.001927109338187923
45,0.0030943509424105286,0.0025940461976764104
46,0.003067564615048468,0.001864175816687445
47,0.0029970177973154934,0.002357347034073124
48,0.0029732654977124183,0.0019011518258290987
49,0.0029072682722471655,0.0017614148964639753
50,0.002877556369639933,0.0017189981396465253
51,0.002849245723336935,0.0019052770997708042
52,0.0028532374300993977,0.001880984113086015
53,0.002825974393635988,0.0017907338139290612
54,0.0028496704704593866,0.0025080309133045375
55,0.0028240972169442102,0.0024222079858494303
